timestamp,ax,ay,az,gx,gy,gz,speed,impact,duration,power,efficiency,acc_mag,gyro_mag,peak_acc,peak_gyro,energy,ml_swing,stroke_type,final_prediction
169378,0.35,-0.4,-1.93,47.57,-33.12,16.13,51.8,36.02,0.52,1865.836,69.26909755942776,51.8,36.02,62.16,39.62200000000001,970.23472,MEDIUM,DROP,MEDIUM
170729,-0.57,-0.15,-1.29,103.42,-98.88,22.56,53.16,36.54,0.37,1942.4663999999998,98.75648984732474,53.16,36.54,63.791999999999994,40.194,718.7125679999999,MEDIUM,SMASH,MEDIUM
172186,0.01,-0.19,-1.26,115.42,-121.0,12.59,53.16,37.77,0.36,2007.8532,104.91637523229105,53.16,37.77,63.791999999999994,41.547000000000004,722.827152,STRONG,SMASH,MEDIUM
173965,-0.17,-0.13,-2.14,71.39,-147.37,5.27,50.29,36.94,0.54,1857.7125999999998,68.4072807272579,50.29,36.94,60.348,40.634,1003.164804,MEDIUM,SMASH,MEDIUM
175850,-0.08,-0.38,-1.87,37.71,-86.27,9.38,51.8,37.09,0.44,1921.2620000000002,84.29526296531145,51.8,37.09,62.16,40.79900000000001,845.3552800000001,MEDIUM,SMASH,MEDIUM
177520,-0.41,-0.57,-0.39,-32.05,4.66,-15.41,53.16,32.88,0.53,1747.9008000000001,62.037618796945665,53.16,32.88,63.791999999999994,36.168000000000006,926.3874240000001,MEDIUM,DROP,MEDIUM
179722,0.1,-0.58,0.29,-58.43,4.95,-24.01,52.63,35.94,0.51,1891.5221999999999,70.47045005794105,52.63,35.94,63.156,39.534,964.6763219999999,MEDIUM,DROP,MEDIUM
180710,0.0,-0.06,0.0,200.39,44.16,-108.95,32.72,15.18,0.2,496.6896,75.89962050189749,32.72,15.18,39.263999999999996,16.698,99.33792,WEAK,DROP,WEAK
181580,0.1,-0.06,-2.2,-13.48,3.33,-16.57,51.8,35.18,0.46,1822.3239999999998,76.4780946128378,51.8,35.18,62.16,38.698,838.26904,MEDIUM,DROP,MEDIUM
183644,0.41,-0.5,-0.47,-45.96,43.51,-3.53,51.8,39.37,0.33,2039.3659999999998,119.30266877979157,51.8,39.37,62.16,43.307,672.99078,MEDIUM,DROP,STRONG
185752,0.42,0.04,-2.04,41.15,-33.84,27.2,51.8,40.43,0.46,2094.274,87.89111328018852,51.8,40.43,62.16,44.473000000000006,963.36604,MEDIUM,SMASH,STRONG
187513,0.42,-0.21,-0.75,115.67,-144.09,-16.27,51.8,38.84,0.34,2011.912,114.2349581324761,51.8,38.84,62.16,42.724000000000004,684.0500800000001,MEDIUM,SMASH,MEDIUM
190684,0.3,-0.55,-0.25,175.07,-47.4,-52.49,53.16,37.57,1.9,1997.2212,19.77367380332958,53.16,37.57,63.791999999999994,41.327000000000005,3794.7202799999995,MEDIUM,DROP,MEDIUM
191765,0.46,0.46,-1.74,84.23,-95.52,-3.14,46.17,33.83,0.61,1561.9311,55.45892547717134,46.17,33.83,55.404,37.213,952.777971,MEDIUM,CLEAR,MEDIUM
194713,-0.26,-0.45,-1.18,103.52,-105.39,-22.46,54.35,38.31,0.42,2082.1485000000002,91.21406853793206,54.35,38.31,65.22,42.141000000000005,874.50237,MEDIUM,SMASH,STRONG
196552,0.46,0.19,-1.85,48.08,-59.26,39.11,53.16,39.19,0.46,2083.3403999999996,85.19546696637616,53.16,39.19,63.791999999999994,43.109,958.3365839999999,STRONG,SMASH,STRONG
198207,-0.15,-0.59,-1.27,85.88,-149.98,0.32,53.16,38.12,0.39,2026.4591999999998,97.74333911964328,53.16,38.12,63.791999999999994,41.932,790.319088,MEDIUM,SMASH,STRONG
199792,0.26,-0.34,-1.19,112.12,-154.59,-14.22,53.16,36.91,0.42,1962.1355999999996,87.88074314108776,53.16,36.91,63.791999999999994,40.601,824.0969519999998,MEDIUM,SMASH,MEDIUM
201213,-0.21,-0.53,-0.86,71.96,-170.42,-16.88,52.69,37.11,0.43,1955.3258999999998,86.30212487877935,52.69,37.11,63.227999999999994,40.821000000000005,840.790137,MEDIUM,SMASH,MEDIUM
202843,0.59,-0.0,-1.05,146.75,-265.19,-23.21,53.16,39.34,0.33,2091.3144,119.21175996436376,53.16,39.34,63.791999999999994,43.27400000000001,690.1337520000001,STRONG,SMASH,STRONG
204345,-0.27,0.16,-1.37,138.71,-113.79,16.19,44.84,32.88,0.4,1474.3392000000001,82.19979450051376,44.84,32.88,53.808,36.168000000000006,589.7356800000001,MEDIUM,CLEAR,MEDIUM
207126,-0.47,-0.51,-0.69,-99.12,15.18,17.93,43.49,38.49,1.31,1673.9301000000003,29.38165696056721,43.49,38.49,52.188,42.339000000000006,2192.8484310000003,MEDIUM,DROP,MEDIUM
208292,-0.45,0.3,-0.17,-191.52,109.76,-83.79,51.63,36.95,0.36,1907.7285000000002,102.63860378165619,51.63,36.95,61.956,40.645,686.7822600000001,MEDIUM,DROP,MEDIUM
210440,-0.39,-0.19,-0.08,5.76,-4.61,-90.75,44.47,37.12,0.39,1650.7263999999998,95.17924313014582,44.47,37.12,53.364,40.832,643.783296,MEDIUM,DROP,MEDIUM
212147,-0.51,-0.2,-1.51,-11.24,-128.59,-7.01,52.04,37.23,0.47,1937.4491999999998,79.2125974200055,52.04,37.23,62.44799999999999,40.953,910.6011239999998,MEDIUM,SMASH,MEDIUM
213522,-0.16,-0.11,-0.91,62.59,-73.14,57.45,47.64,34.99,0.29,1666.9236,120.65475636290913,47.64,34.99,57.168,38.489000000000004,483.407844,MEDIUM,CLEAR,MEDIUM
215177,-0.28,0.02,-1.27,49.93,-83.6,60.02,47.55,32.73,0.33,1556.3114999999998,99.18151763176475,47.55,32.73,57.059999999999995,36.003,513.5827949999999,MEDIUM,DROP,MEDIUM
216646,-0.05,0.5,-1.05,-71.23,65.11,47.49,50.61,39.32,0.35,1989.9852,112.3425361641824,50.61,39.32,60.732,43.252,696.49482,MEDIUM,SMASH,MEDIUM
218243,0.08,-0.41,-2.05,29.17,-80.67,45.25,51.8,35.96,0.54,1862.7279999999998,66.59246927320504,51.8,35.96,62.16,39.556000000000004,1005.87312,MEDIUM,DROP,MEDIUM
219974,0.26,0.6,-1.49,109.32,-88.91,-17.17,51.8,36.83,0.62,1907.7939999999999,59.40312999495161,51.8,36.83,62.16,40.513,1182.8322799999999,MEDIUM,SMASH,MEDIUM
221787,0.52,0.44,-1.5,123.82,-14.26,-44.2,53.39,36.54,0.62,1950.8706,58.935388813889006,53.39,36.54,64.068,40.194,1209.539772,MEDIUM,SMASH,MEDIUM
223342,0.4,0.54,-1.2,128.03,-60.85,-69.65,51.8,36.77,0.47,1904.6860000000001,78.23387609813598,51.8,36.77,62.16,40.44700000000001,895.2024200000001,MEDIUM,SMASH,MEDIUM
225411,-0.34,0.39,-0.93,25.33,-36.05,-74.12,50.55,37.53,0.39,1897.1415,96.23052248583978,50.55,37.53,60.66,41.283,739.885185,MEDIUM,SMASH,MEDIUM
228068,0.02,-0.36,-1.29,98.36,-95.29,-0.18,53.16,37.64,0.39,2000.9424,96.5125730446845,53.16,37.64,63.791999999999994,41.404,780.367536,MEDIUM,SMASH,MEDIUM
229501,-0.2,0.3,-0.64,-253.32,200.35,-130.78,52.31,36.13,0.27,1889.9603000000002,133.81431920622518,52.31,36.13,62.772,39.74300000000001,510.2892810000001,MEDIUM,DROP,MEDIUM
230989,-0.41,0.15,-0.28,-205.45,151.86,-82.98,52.31,36.19,0.34,1893.0989,106.44086340922526,52.31,36.19,62.772,39.809,643.653626,MEDIUM,DROP,MEDIUM
232769,-0.65,0.21,-1.48,58.57,-11.98,-71.74,52.38,40.18,0.54,2104.6284,74.40726961616737,52.38,40.18,62.856,44.198,1136.499336,MEDIUM,SMASH,STRONG
233953,-0.05,0.14,-0.18,-156.31,191.43,-120.72,53.52,40.53,0.29,2169.1656000000003,139.75813876503878,53.52,40.53,64.224,44.583000000000006,629.058024,STRONG,DROP,STRONG
236130,0.09,-0.53,-0.13,147.63,41.47,-45.09,51.8,36.66,1.15,1898.9879999999998,31.87823314936248,51.8,36.66,62.16,40.326,2183.8361999999997,MEDIUM,DROP,MEDIUM
237008,0.15,-0.57,-1.44,8.1,-86.87,8.13,51.8,39.04,0.4,2022.272,97.59975600061,51.8,39.04,62.16,42.944,808.9088,MEDIUM,SMASH,STRONG
238560,0.27,-0.5,-1.25,109.0,-147.56,-15.04,53.16,36.9,0.4,1961.6039999999998,92.24976937557656,53.16,36.9,63.791999999999994,40.59,784.6415999999999,MEDIUM,SMASH,MEDIUM
240137,-0.17,-0.56,-0.82,91.07,-28.87,3.11,54.35,38.89,0.43,2113.6715,90.44165013569737,54.35,38.89,65.22,42.779,908.878745,STRONG,SMASH,STRONG
242486,-0.12,-0.52,-0.34,94.27,44.44,65.52,52.31,39.04,1.25,2042.1824000000001,31.23197501441999,52.31,39.04,62.772,42.944,2552.728,MEDIUM,DROP,STRONG
244614,0.48,-0.49,-0.52,111.98,231.35,-71.68,51.95,36.44,1.64,1893.058,22.219498646647168,51.95,36.44,62.34,40.084,3104.61512,MEDIUM,DROP,MEDIUM
245271,-0.14,-0.53,-1.33,47.59,-79.9,-19.39,52.63,38.47,0.26,2024.6761000000001,147.960969380887,52.63,38.47,63.156,42.317,526.415786,MEDIUM,DROP,STRONG
246776,0.06,-0.14,-0.4,-119.16,106.79,-144.2,52.31,39.58,0.4,2070.4298,98.94975262561843,52.31,39.58,62.772,43.538000000000004,828.17192,MEDIUM,DROP,STRONG
249806,0.15,-0.64,-0.24,140.75,-19.26,-7.36,53.52,40.14,1.61,2148.2928,24.931661533129482,53.52,40.14,64.224,44.154,3458.7514080000005,STRONG,DROP,STRONG
250758,0.3,0.19,-2.15,22.85,25.15,-21.12,41.96,35.38,0.44,1484.5448000000001,80.40890816157237,41.96,35.38,50.352,38.918000000000006,653.1997120000001,MEDIUM,CLEAR,MEDIUM
252258,-0.16,-0.05,-0.3,-123.21,23.73,-98.65,52.31,38.69,0.34,2023.8739,113.79378295946188,52.31,38.69,62.772,42.559,688.1171260000001,MEDIUM,DROP,STRONG
254260,0.17,0.21,-2.2,-4.36,32.79,-21.71,51.8,35.79,0.45,1853.9219999999998,79.53315659298535,51.8,35.79,62.16,39.369,834.2648999999999,MEDIUM,DROP,MEDIUM
255852,0.37,-0.49,-1.24,16.94,-70.88,22.35,45.89,29.24,0.58,1341.8236,50.4137061832652,45.89,29.24,55.068,32.164,778.2576879999999,MEDIUM,DROP,WEAK
257311,-0.21,0.48,0.25,66.54,50.73,-123.29,28.56,15.89,0.39,453.8184,40.743485273114686,28.56,15.89,34.272,17.479000000000003,176.98917600000001,WEAK,DROP,WEAK
257919,-0.21,-0.57,-1.17,-13.4,-34.02,13.74,33.4,21.22,0.21,708.7479999999999,101.04713787077205,33.4,21.22,40.08,23.342000000000002,148.83708,WEAK,DROP,WEAK
260556,0.14,0.01,-1.76,-10.0,185.68,-15.94,28.47,20.49,0.2,583.3503,102.44948775256123,28.47,20.49,34.163999999999994,22.539,116.67005999999999,WEAK,DROP,WEAK
